round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -28.5999774933 18220 user
49 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -22636.4998817 1340 user
49 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 -20692.2998428 2812 user
49 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -21622.300148 2592 user
49 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 9 -21674.7000217 1682 user
49 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -21740.4999733 2741 user
49 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -19570.100069 3586 user
49 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -15472.5999832 8355 user
49 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -22740.1998043 1834 user
49 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 0 -2098.70004654 22804 user
49 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -22986.700058 1531 user
49 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -21616.9002056 2901 user
50 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 0 2621.39987946 2593 user
50 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 19 3900.20012856 3862 user
50 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 17624.5000362 17592 user
50 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 1626.89995766 1597 user
50 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 19 1963.59992027 1935 user
50 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 1980.49998283 1955 user
50 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 2614.70007896 2521 user
50 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 4 1537.69993782 1511 user
50 usuario11 C ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 0 7833.30011368 7704 user
50 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] C 19 2814.30006027 2789 user
50 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 14340.0001526 14311 user
50 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 1504.40001488 1477 user
50 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 19 1814.19992447 1789 user
50 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 0 4177.70004272 4152 user
50 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 1320.19996643 1288 user
50 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 15926.3000488 15893 user
